#  allMAMErenamed 0.1 > 0.290git
#  =====================================================================
#  All MAME sets renamed, from the first version, in alphabetical order.
#
#
#  © 2026 AntoPISA
#
==================================================================================================================
| mameID  | Old Name                                 | New Name                                 | Renamed In |   |
|    2034 | asteroib                                 | asteroidb                                |    0.133u1 | M |
|     148 | asteroid                                 | asteroi2                                 |    0.132u2 | M |
|     200 | asteroid                                 | asteroi1                                 |     0.33b7 | M |
|    2034 | asteroidb                                | asteroidb1                               |      0.229 | M |
|     670 | astlaser                                 | laser                                    |       0.36 | M |
|    1540 | astorm                                   | astormj                                  |       0.92 | M |
|    1954 | astorm2p                                 | astorm                                   |       0.92 | M |
|    5306 | astorma                                  | astorm3                                  |       0.92 | M |
|    5385 | astormb                                  | astormu                                  |       0.92 | M |
|     267 | astrob                                   | astrob2                                  |     0.37b2 | M |
|   31145 | astrocade                                | astrocade_io                             |      0.198 | D |
|   31138 | astrocade_256k                           | astrocade_rom_256k                       |      0.208 | D |
|   31139 | astrocade_512k                           | astrocade_rom_512k                       |      0.208 | D |
|   31144 | astrocde_exp                             | astrocade_exp                            |      0.186 | D |
|    8364 | astrode                                  | astrobg                                  |    0.138u1 | M |
|    2793 | astrxeaa                                 | asterixeaa                               |    0.133u1 | M |
|    2794 | astrxeac                                 | asterixeac                               |    0.133u1 | M |
|    6677 | asukaj                                   | asukaja                                  |      0.237 | M |
|    6466 | asurabus                                 | asurabusj                                |      0.233 | M |
|   30612 | asurabusa                                | asurabusjr                               |      0.233 | M |
|   35226 | atari_dcp                                | atari_dpc                                |      0.186 | D |
|   28833 | atarscom                                 | atariscom                                |      0.221 | D |
|    2124 | ataxx                                    | ataxxa                                   |      0.196 | M |
|    2125 | ataxxa                                   | ataxx                                    |      0.196 | M |
|     355 | atetckt2                                 | atetrisc2                                |    0.133u1 | M |
|     964 | atetcktl                                 | atetrisc                                 |    0.133u1 | M |
|     355 | atetcktl                                 | atetckt2                                 |     0.34b8 | M |
|    4788 | atetrsb2                                 | atetrisb2                                |    0.133u1 | M |
|    1462 | atlants2                                 | atlantis2                                |    0.133u1 | M |
|    4982 | atluspsx                                 | coh1001l                                 |      0.178 | B |
|   31176 | atombb                                   | atombbc                                  |      0.279 | M |
|    3393 | atomboy                                  | atomboya                                 |    0.125u3 | M |
|   31177 | atomeb                                   | atomrr                                   |      0.279 | M |
|    2396 | atompunk                                 | newapunk                                 |       0.96 | M |
|   37403 | ator                                     | ator3bmp                                 |      0.227 | M |
|    4831 | atpsx                                    | coh1000w                                 |      0.178 | B |
|   29554 | attckexd                                 | attckexd2                                |      0.159 | M |
|   31180 | atvga                                    | atturbo                                  |      0.216 | M |
|    7590 | atworld                                  | atworlde1                                |    0.142u2 | M |
|    1541 | auraila                                  | aurail1                                  |       0.92 | M |
|    2352 | av2mj1                                   | av2mj1bb                                 |       0.57 | M |
|    8009 | avalon13                                 | avalnc13                                 |      0.159 | M |
|    8036 | avalons                                  | avalonsc                                 |      0.159 | M |
|     640 | avenger2                                 | avengers2                                |    0.133u1 | M |
|   45206 | avengers                                 | avengersa                                |      0.266 | M |
|     639 | avengers                                 | avengersc                                |      0.246 | M |
|     640 | avengers2                                | avengersa                                |      0.246 | M |
|     640 | avengersa                                | avengersb                                |      0.266 | M |
|   45207 | avengersb                                | avengersc                                |      0.266 | M |
|     639 | avengersc                                | avengers                                 |      0.266 | M |
|    4191 | avengrgj                                 | avengrgsj                                |    0.133u1 | M |
|    4191 | avengrgs                                 | avengrgj                                 |      0.102 | M |
|    2678 | avsp                                     | avspu                                    |    0.37b16 | M |
|   41000 | axc51core                                | ax208p                                   |      0.247 | D |
|   15946 | baboshka                                 | baboshkar                                |      0.274 | M |
|    9205 | babypac                                  | babypac2                                 |    0.145u8 | M |
|    5726 | backfira                                 | backfirea                                |    0.133u1 | M |
|    8206 | backfirt                                 | backfirtb                                |      0.286 | M |
|   36287 | badbog                                   | baddog                                   |      0.175 | M |
|    7048 | badlandb                                 | badlandsb                                |    0.133u1 | M |
|      18 | bagman                                   | bagmans                                  |     0.33b7 | M |
|    3394 | bagmang                                  | bagmanmc                                 |       0.63 | M |
|     894 | bagmans2                                 | bagmans4                                 |      0.226 | M |
|   28718 | bagnardi                                 | bagnardio                                |      0.225 | M |
|    3620 | bang                                     | bangb                                    |      0.278 | M |
|    6745 | bangbead                                 | bangbedp                                 |       0.68 | M |
|   29443 | baraduka                                 | baraduke                                 |    0.118u5 | M |
|    1861 | baraduke                                 | aliensec                                 |    0.118u5 | M |
|   30341 | baryon                                   | baryona                                  |      0.159 | M |
|   10627 | baryona                                  | baryon                                   |      0.159 | M |
|   33724 | basic_joy                                | pc_basic_joy                             |      0.186 | D |
|    5373 | bass                                     | getbassur                                |      0.228 | M |
|   28548 | basschal                                 | basschalo                                |      0.170 | M |
|   26493 | bassdx                                   | getbassdx                                |      0.228 | M |
|    4935 | batlbala                                 | batlballa                                |    0.133u1 | M |
|    6374 | batlbalu                                 | batlballu                                |    0.133u1 | M |
|   31212 | batmantv                                 | jak_batm                                 |      0.206 | M |
|    7531 | batrid                                   | batrider                                 |    0.141u4 | M |
|    7532 | batridc                                  | batriderc                                |    0.141u4 | M |
|    2431 | batrider                                 | batridj                                  |    0.129u3 | M |
|    2431 | batridj                                  | batriderj                                |    0.141u4 | M |
|    2432 | batridja                                 | batriderja                               |    0.141u4 | M |
|    3854 | batridk                                  | batriderk                                |    0.141u4 | M |
|    2432 | batridra                                 | batridja                                 |    0.129u3 | M |
|    3854 | batridrk                                 | batridk                                  |    0.129u3 | M |
|    8605 | batridta                                 | batridert                                |    0.141u4 | M |
|    7533 | batridu                                  | batrideru                                |    0.141u4 | M |
|    5843 | batsugna                                 | batsuguna                                |    0.133u1 | M |
|    2035 | batsugun                                 | batsuguna                                |    0.141u1 | M |
|    5843 | batsuguna                                | batsugun                                 |    0.141u1 | M |
|    1024 | battlan2                                 | battlane2                                |    0.133u1 | M |
