#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
|             32363 | hx34i                                      | 0.162              | 0.250                  |                   | M     |
|             32381 | i8041                                      | 0.162              | 0.211                  |                   | D     |
|             37773 | i8242                                      | 0.184              | 0.211                  |                   | D     |
|             37775 | i8274_new                                  | 0.184              | 0.220                  |                   | D     |
|             45517 | ibara                                      | 0.142u5            | 0.144                  | 0.153             | M     |
|             10641 | ibarablk                                   | 0.142u5            | 0.144                  | 0.153             | M     |
|             32440 | ibmps1es                                   | 0.162              | 0.222                  |                   | M     |
|             32451 | imds                                       | 0.162              | 0.202                  |                   | M     |
|             35824 | indigo3k                                   | 0.169              | 0.258                  |                   | M     |
|             37532 | ioga                                       | 0.183              | 0.192                  |                   | D     |
|               519 | irobot                                     | 0.33b3             | 0.36b4                 | 0.36b10           | M     |
|             42398 | iwml                                       | 0.222              | 0.249                  |                   | D     |
|             11117 | j5slvreeb                                  | 0.143u2            | 0.143u5                |                   | M     |
|             26901 | j6arcadef                                  | 0.147u4            | 0.228                  |                   | M     |
|             11316 | j80r66                                     | 0.143u2            | 0.146u5                |                   | M     |
|             38832 | jgz80                                      | 0.192              | 0.201                  |                   | M     |
|              7929 | jingystm                                   | 0.130u1            | 0.131u1                | 0.135u1           | M     |
|              5913 | jolycdat                                   | 0.102u4            | 0.147u2                |                   | M     |
|             29664 | josvolly8741_4pack                         | 0.153              | 0.182                  |                   | D     |
|               304 | joustg                                     | 0.30               | 0.33b7                 |                   | M     |
|             42564 | jpmreno                                    | 0.223              | 0.228                  |                   | M     |
|             30027 | k2k_ss5_cart                               | 0.154              | 0.174                  |                   | D     |
|             30028 | k2k_ss5s_cart                              | 0.154              | 0.174                  |                   | D     |
|             29478 | k573npu                                    | 0.152              | 0.255                  |                   | D     |
|              7982 | karous                                     | 0.130u2            | 0.131u1                | 0.135u1           | M     |
|              1498 | kikstart                                   | 0.36b1             | 0.55                   | 0.68              | M     |
