MAMEIDs 0.289 (July 31, 2026)
===============================================================================================================================================================================================================================
'mameID' it is an unequivocally identifies each machine/bios/device added to the MAME with a simple number ====================================================================================================================
===============================================================================================================================================================================================================================
|mameID | SET                             | DESCRIPTION                                                                                                                                                            |   TYPE   |
| 36185 | zodiac                          | Zodiac: The Astrology Computer                                                                                                                                         | mess     |
|  1396 | zodiack                         | Zodiack                                                                                                                                                                | arcade   |
| 30778 | zoidiexp                        | Zoids Infinity EX Plus (ver. 2.10)                                                                                                                                     | arcade   |
| 48180 | zoids                           | Zoids                                                                                                                                                                  | arcade   |
| 30779 | zoidsinf                        | Zoids Infinity                                                                                                                                                         | arcade   |
| 19567 | zokumahj                        | Zoku Mahjong Housoukyoku (Japan)                                                                                                                                       | arcade   |
| 47207 | zokuoten                        | Zoku Otenamihaiken (V2.05J 2003/05/12 18:00)                                                                                                                           | arcade   |
|  7977 | zokuotena                       | Zoku Otenamihaiken (V2.03J 2001/02/16 16:00)                                                                                                                           | arcade   |
|  3752 | zombraid                        | Zombie Raid (9/28/95, US)                                                                                                                                              | arcade   |
| 29147 | zombraidp                       | Zombie Raid (9/28/95, US, prototype PCB)                                                                                                                               | arcade   |
| 29148 | zombraidpj                      | Zombie Raid (9/28/95, Japan, prototype PCB)                                                                                                                            | arcade   |
| 35974 | zombrvn                         | Zombie Revenge (Rev A)                                                                                                                                                 | arcade   |
| 39745 | zombrvne                        | Zombie Revenge (Export)                                                                                                                                                | arcade   |
|  6643 | zombrvno                        | Zombie Revenge                                                                                                                                                         | arcade   |
| 41813 | zon32bit                        | Zone 32-bit Gaming Console System (Family Sport 41-in-1)                                                                                                               | mess     |
| 41814 | zone100                         | Zone 100                                                                                                                                                               | mess     |
| 42502 | zone3d                          | Zone 3D                                                                                                                                                                | mess     |
| 39225 | zone40                          | Zone 40                                                                                                                                                                | mess     |
| 38286 | zone60                          | Zone 60                                                                                                                                                                | mess     |
| 41815 | zone7in1                        | Zone 7-in-1 Sports (NTSC)                                                                                                                                              | mess     |
| 43007 | zone7in1p                       | Zone 7-in-1 Sports (PAL)                                                                                                                                               | mess     |
| 46913 | zonefamf                        | Zone Family Fit                                                                                                                                                        | mess     |
| 43105 | zonefusn                        | Zone Fusion                                                                                                                                                            | mess     |
| 50458 | zonekdft                        | Zone Kids Fit (18-in-1)                                                                                                                                                | mess     |
| 43008 | zonemini                        | Zone Mini                                                                                                                                                              | mess     |
|  8800 | zoo                             | Zoo (Ver. ZO.02.D, Aug 27 2004)                                                                                                                                        | arcade   |
| 38063 | zoofari                         | Zoofari                                                                                                                                                                | arcade   |
|   258 | zookeep                         | Zoo Keeper (set 1)                                                                                                                                                     | arcade   |
|  1143 | zookeep2                        | Zoo Keeper (set 2)                                                                                                                                                     | arcade   |
|   633 | zookeep3                        | Zoo Keeper (set 3)                                                                                                                                                     | arcade   |
| 43106 | zookeepbl                       | Zoo Keeper (bootleg)                                                                                                                                                   | arcade   |
|  4824 | zoom909                         | Zoom 909                                                                                                                                                               | arcade   |
| 45419 | zoomania                        | Zoomania (Version 10.04, set 1)                                                                                                                                        | arcade   |
| 45420 | zoomaniaa                       | Zoomania (Version 10.04, set 2)                                                                                                                                        | arcade   |
| 47832 | zoomer                          | Zoomer (Z-PDA / Z-7000)                                                                                                                                                | mess     |
| 47833 | zoomer_rtc                      | Zoomer Real Time Clock                                                                                                                                                 | mess     |
|  8008 | zooo                            | Zooo (V2.01JA 2004/04/13 12:00)                                                                                                                                        | arcade   |
| 35201 | zorba                           | Zorba (Modular Micros)                                                                                                                                                 | mess     |
| 37465 | zorba_kbd                       | Zorba Keyboard                                                                                                                                                         | mess     |
| 35203 | zorro2                          | Zorro-II Bus                                                                                                                                                           | mess     |
| 31935 | zorro2_slot                     | Zorro-II slot                                                                                                                                                          | mess     |
| 36656 | zorroa6                         | Zorro (30130611, NSW/ACT)                                                                                                                                              | arcade   |
| 46183 | zorroa6a                        | Zorro (20167511, ASP)                                                                                                                                                  | arcade   |
| 36657 | zorroa6u                        | Zorro (0151372, US)                                                                                                                                                    | arcade   |
| 39940 | zortonbr                        | Zorton Brothers / Los Justicieros (v1.01)                                                                                                                              | arcade   |
|  6370 | zortonbr_100                    | Zorton Brothers / Los Justicieros (v1.00)                                                                                                                              | arcade   |
| 47104 | zr36057                         | Zoran ZR36057-based Enhanced Multimedia Controller                                                                                                                     | mess     |
| 48628 | zr36060                         | Zoran ZR36060 Integrated JPEG codec                                                                                                                                    | mess     |
| 46340 | zr36110                         | Zoran ZR36110 mpeg decoder                                                                                                                                             | arcade   |
| 35204 | zrt80                           | ZRT-80                                                                                                                                                                 | mess     |
| 29149 | zs01                            | Konami ZS01 PIC                                                                                                                                                        | arcade   |
| 35205 | zsbc3                           | ZSBC-3                                                                                                                                                                 | mess     |
| 29150 | zsg2                            | ZOOM ZSG-2                                                                                                                                                             | arcade   |
| 35206 | zsl5500                         | Zaurus SL-5500 "Collie"                                                                                                                                                | mess     |
| 35207 | zsl5600                         | Zaurus SL-5600 / SL-B500 "Poodle"                                                                                                                                      | mess     |
| 35208 | zslc1000                        | Zaurus SL-C3000 "Akita" (Japan)                                                                                                                                        | mess     |
| 35209 | zslc3000                        | Zaurus SL-C3000 "Spitz" (Japan)                                                                                                                                        | mess     |
| 43009 | zslc500                         | Zaurus SL-C500                                                                                                                                                         | mess     |
| 35210 | zslc750                         | Zaurus SL-C750 "Shepherd" (Japan)                                                                                                                                      | mess     |
| 35211 | zslc760                         | Zaurus SL-C760 "Husky" (Japan)                                                                                                                                         | mess     |
| 38904 | zt8802                          | ZT-8802 SBC                                                                                                                                                            | mess     |
| 49411 | zuanshi2                        | Zuanshi II (version V153A)                                                                                                                                             | arcade   |
| 48721 | zuanshiw                        | Zuanshi Wutai (V110II)                                                                                                                                                 | arcade   |
| 42503 | zudugo                          | Zudu-go / 2udu-go                                                                                                                                                      | mess     |
| 49269 | zulu                            | Zulu (Ver. 2.04J, Feb 3 2004)                                                                                                                                          | arcade   |
| 47740 | zunknecta                       | unknown Zanussi / Necta vending machine                                                                                                                                | mess     |
|  2490 | zunkyou                         | Zunzunkyou no Yabou (Japan)                                                                                                                                            | arcade   |
| 29886 | zunou                           | Touch De Zunou (Japan, Rev A)                                                                                                                                          | arcade   |
|  3711 | zupapa                          | Zupapa!                                                                                                                                                                | arcade   |
| 48525 | zupapah8                        | Zupapa (Italian gambling game)                                                                                                                                         | arcade   |
| 47741 | zvenezia                        | Venezia (coffee vending machine)                                                                                                                                       | mess     |
| 35212 | zvezda                          | Zvezda                                                                                                                                                                 | mess     |
|  1764 | zwackery                        | Zwackery                                                                                                                                                               | arcade   |
| 35213 | zx80                            | ZX-80                                                                                                                                                                  | mess     |
| 35214 | zx81                            | ZX-81                                                                                                                                                                  | mess     |
| 35215 | zx8301                          | Sinclair ZX8301                                                                                                                                                        | mess     |
| 35216 | zx8302                          | Sinclair ZX8302                                                                                                                                                        | mess     |
| 35217 | zx97                            | ZX97                                                                                                                                                                   | mess     |
| 46196 | zxbus                           | ZXBUS bus                                                                                                                                                              | mess     |
| 49712 | zxbus_adapter                   | ISA8 to ZXBUS Adapter                                                                                                                                                  | mess     |
| 46759 | zxbus_nemoide                   | Nemo IDE Controller                                                                                                                                                    | mess     |
| 45936 | zxbus_neogs                     | NeoGS / General Sound                                                                                                                                                  | mess     |
| 46195 | zxbus_slot                      | ZXBUS slot                                                                                                                                                             | mess     |
| 46556 | zxbus_smuc                      | SMUC                                                                                                                                                                   | mess     |
| 29887 | zzblock                         | Zun Zun Block                                                                                                                                                          | arcade   |
|   562 | zzyzzyxx                        | Zzyzzyxx (set 1)                                                                                                                                                       | arcade   |
|  1397 | zzyzzyxx2                       | Zzyzzyxx (set 2)                                                                                                                                                       | arcade   |
| 45803 | zzzap_audio                     | Midway 280-ZZZAP Audio                                                                                                                                                 | arcade   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|mameID | SET                             | DESCRIPTION                                                                                                                                                            |  REM_IN  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| 40308 | 24c16a                          | 24C16A I2C Memory                                                                                                                                                      | 0.222    |
| 30791 | 3do_m2                          | 3DO M2                                                                                                                                                                 | 0.205    |
| 35218 | 40105                           | 40105                                                                                                                                                                  | 0.181    |
| 37196 | 7400                            | 7400 Quad 2-Input NAND Gate                                                                                                                                            | 0.181    |
| 37197 | 7404                            | 5/7404 Hex Inverters                                                                                                                                                   | 0.181    |
| 37198 | 82s129                          | 82S129 1K-bit TTL bipolar PROM                                                                                                                                         | 0.181    |
| 35641 | a2600_dpcplus                   | Atari 2600 ROM Cart DPC+                                                                                                                                               | 0.168    |
| 30833 | a2diskii                        | Apple Disk II controller                                                                                                                                               | 0.249    |
| 30847 | a2lang                          | Apple II Language Card                                                                                                                                                 | 0.183    |
| 30872 | a2vtc2                          | unknown VideoTerm clone #2                                                                                                                                             | 0.211    |
| 30949 | a8sio_slot                      | Atari 8 bit SIO Slot                                                                                                                                                   | 0.210    |
| 30953 | aakart                          | Acorn Archimedes KART                                                                                                                                                  | 0.232    |
| 30955 | abc_hdc                         | ABC HDC                                                                                                                                                                | 0.228    |
| 19681 | ac1clbmna                       | Club Money (Ace) (ACESYS1) (set 2)                                                                                                                                     | 0.146u5  |
| 19683 | ac1goglda                       | Go For Gold (Ace) (ACESYS1) (set 2)                                                                                                                                    | 0.146u5  |
| 13164 | ac1piadx                        | Play It Again Deluxe (Ace) (ACESYS1)                                                                                                                                   | 0.143u7  |
| 19694 | ac1primta                       | Primetime (Ace) (ACESYS1) (set 2)                                                                                                                                      | 0.146u5  |
| 14143 | ad5u1337                        | unknown Scorpion '39211337' (Mazooma) (Scorpion 5, Adder 5)                                                                                                            | 0.145u7  |
| 38764 | akatana                         | Akai Katana (2010/ 8/13 MASTER VER.)                                                                                                                                   | 0.240    |
| 43886 | alice_mcx128                    | Darren Atkinson's MCX-128 cartridge (Alice ROM)                                                                                                                        | 0.268    |
| 42330 | alice128                        | Alice with MCX-128                                                                                                                                                     | 0.233    |
| 37631 | alpha8201l                      | ALPHA-8201L                                                                                                                                                            | 0.221    |
| 28825 | alpha8301l                      | ALPHA-8301L                                                                                                                                                            | 0.221    |
|  5841 | alpinesa                        | Namco Alpine Surfer (World, AF2 Ver.A, set 2)                                                                                                                          | 0.279    |
| 40793 | am25s557                        | AMD Am25S557 Combinatorial Multiplier                                                                                                                                  | 0.222    |
| 40794 | am25s558                        | AMD Am25S558 Combinatorial Multiplier                                                                                                                                  | 0.222    |
| 37210 | am2847                          | TI TMS3409 80-bit Static Shift Register                                                                                                                                | 0.181    |
| 42331 | am2901b                         | AMD Am2901B Bitslice Processor                                                                                                                                         | 0.250    |
| 40795 | am2910                          | AMD Am2910 Microprogram Controller                                                                                                                                     | 0.250    |
| 28827 | am53cf96                        | AMD 53CF96 SCSI                                                                                                                                                        | 0.265    |
| 35796 | animpkra                        | unknown animal-themed game (top)                                                                                                                                       | 0.223    |
| 31082 | apple_fdcl                      | Apple FDC (legacy)                                                                                                                                                     | 0.249    |
| 31100 | apple2gsr3lp                    | Apple IIgs (ROM03 late prototype?)                                                                                                                                     | 0.177    |
| 31108 | apricotxi                       | ACT Apricot Xi                                                                                                                                                         | 0.285    |
|   348 | arkabeta                        | Arkanoid (BETA bootleg)                                                                                                                                                | 0.33b7   |
| 37637 | arm_be                          | ARM (big)                                                                                                                                                              | 0.249    |
| 31157 | at29040a                        | ATMEL 29040A 512K*8 FEEPROM                                                                                                                                            | 0.165    |
| 31167 | atari_vg_earom                  | Atari VG EAROM                                                                                                                                                         | 0.200    |
| 29165 | atari2804                       | Atari EEPROM Interface (2804)                                                                                                                                          | 0.190    |
| 29166 | atari2816                       | Atari EEPROM Interface (2816)                                                                                                                                          | 0.190    |
| 31179 | attachef                        | Attache (boot rev F)                                                                                                                                                   | 0.165    |
| 29562 | avg_tomcat                      | Atari AVG (TomCat)                                                                                                                                                     | 0.227    |
|  6745 | bangbedp                        | Bang Bead (prototype)                                                                                                                                                  | 0.69     |
| 31217 | bbcb1770                        | BBC Micro Model B w/1770 FDC                                                                                                                                           | 0.178    |
| 28838 | beezer_sound                    | beezer SFX                                                                                                                                                             | 0.181    |
|   920 | billiard                        | The Billiards (Video Hustler bootleg)                                                                                                                                  | 0.35     |
|  5860 | blitz11                         | NFL Blitz (boot ROM 1.1)                                                                                                                                               | 0.229    |
| 44729 | brkthrubl                       | Break Thru (bootleg)                                                                                                                                                   | 0.278    |
| 28842 | buggychl_mcu                    | M68705 MCU Simulation (Buggy Challenge)                                                                                                                                | 0.182    |
| 31441 | canonv30                        | V-30 (MSX2)                                                                                                                                                            | 0.250    |
| 31498 | cdi68070                        | CDI68070                                                                                                                                                               | 0.209    |
| 36812 | cdrom_fixed                     | ATAPI fixed CD-ROM                                                                                                                                                     | 0.275    |
| 37657 | chocovdr_decrypter              | Chocovader Contactee decrypter                                                                                                                                         | 0.254    |
| 29174 | cirrus_vga                      | CIRRUS_VGA                                                                                                                                                             | 0.161    |
| 35977 | clubpacmb                       | Pacman Club (set 2, Argentina)                                                                                                                                         | 0.226    |
| 18840 | cninjaa                         | Caveman Ninja (alternate)                                                                                                                                              | 0.150    |
| 28850 | cobra_jvs                       | JVS (COBRA)                                                                                                                                                            | 0.251    |
| 28851 | cobra_jvs_host                  | JVS-HOST (COBRA)                                                                                                                                                       | 0.251    |
| 31572 | coco_fdc_v11                    | CoCo FDC v1.1                                                                                                                                                          | 0.254    |
| 45698 | coco_scii_cc3                   | Disto Super Controller II (CoCo 3 ROM)                                                                                                                                 | 0.254    |
| 31577 | coco2                           | Color Computer 2                                                                                                                                                       | 0.255    |
| 39230 | coco2_hdb1                      | CoCo2 HDB-DOS                                                                                                                                                          | 0.254    |
| 39385 | coco2h                          | Color Computer 2 (HD6309)                                                                                                                                              | 0.255    |
| 31580 | coco3_hdb1                      | CoCo3 HDB-DOS                                                                                                                                                          | 0.254    |
| 31581 | coco3dw1                        | Color Computer 3 (NTSC; HDB-DOS)                                                                                                                                       | 0.254    |
| 31585 | cocoe                           | Color Computer (Extended BASIC 1.0)                                                                                                                                    | 0.255    |
| 39386 | cocoeh                          | Color Computer (Extended BASIC 1.0; HD6309)                                                                                                                            | 0.255    |
| 44736 | code1da                         | Code One Dispatch (ver UAA)                                                                                                                                            | 0.262    |
| 29581 | cojag_hdd                       | HDD CoJag                                                                                                                                                              | 0.275    |
| 31626 | cop444                          | COP444                                                                                                                                                                 | 0.182    |
| 31638 | cp400_fdc                       | CP400 FDC                                                                                                                                                              | 0.193    |
| 36104 | cscfr                           | Champion Sensory Chess Challenger (French)                                                                                                                             | 0.208    |
| 36105 | cscg                            | Champion Sensory Chess Challenger (German)                                                                                                                             | 0.208    |
| 36106 | cscsp                           | Champion Sensory Chess Challenger (Spanish)                                                                                                                            | 0.208    |
|  2687 | cvs                             | CVS Bios                                                                                                                                                               | 0.122u5  |
|  8107 | cybrlipa                        | Cyber Lip (alt)                                                                                                                                                        | 0.34b7   |
| 37122 | dac_4bit_bw_sm                  | 4-Bit Binary Weighted Sign Magnitude DAC                                                                                                                               | 0.246    |
| 31744 | dcprt                           | Katana Set 5 Prototype                                                                                                                                                 | 0.170    |
| 29951 | deco_zoomspr                    | DECO Zooming Sprites                                                                                                                                                   | 0.237    |
| 28872 | decocomn                        | DECO Common Video Functions                                                                                                                                            | 0.288    |
| 46045 | demonwld4                       | Demon's World / Horror Story (set 5)                                                                                                                                   | 0.143u7  |
| 29952 | devcb_line_dispatch             | Line dispatcher (2 slots)                                                                                                                                              | 0.181    |
| 37222 | dm9334                          | National Semiconductor 9334/DM9334 8-Bit Addressable Latch                                                                                                             | 0.181    |
| 31783 | dmg_lcd                         | DMG LCD                                                                                                                                                                | 0.179    |
| 31784 | dms3d2kp                        | Diamond Stealth 3D 2000 Pro                                                                                                                                            | 0.264    |
| 39762 | dp83932c_be                     | National Semiconductor DP83932C SONIC (big)                                                                                                                            | 0.206    |
| 39763 | dp83932c_le                     | National Semiconductor DP83932C SONIC (little)                                                                                                                         | 0.206    |
| 30473 | dpatrol                         | Project Support Engineering Desert Patrol                                                                                                                              | 0.278    |
| 40815 | dpb_brushproc                   | Quantel DPB-7000 Brush Processor Card                                                                                                                                  | 0.222    |
| 40917 | dpb_brushstore                  | Quantel DPB-7000 Brush Store Card                                                                                                                                      | 0.222    |
| 40816 | dpb_combiner                    | Quantel DPB-7000 Combiner Card                                                                                                                                         | 0.222    |
| 40918 | dpb_framestore                  | Quantel DPB-7000 Framestore Card                                                                                                                                       | 0.222    |
| 40817 | dpb_storeaddr                   | Quantel DPB-7000 Store Address Card                                                                                                                                    | 0.222    |
| 45368 | drmn10ma                        | DrumMania 10th Mix eAmusement (G*D40 VER. JCA)                                                                                                                         | 0.255    |
| 45370 | drmn9mb                         | DrumMania 9th Mix eAmusement (G*D09 VER. JCA)                                                                                                                          | 0.255    |
| 31830 | ds1315                          | Dallas DS1315 Phantom Time Chip                                                                                                                                        | 0.274    |
| 37684 | dummy_space                     | Dummy Space                                                                                                                                                            | 0.232    |
| 46233 | dvdrom_fixed                    | ATAPI fixed CD/DVD-ROM                                                                                                                                                 | 0.275    |
| 35436 | dvk_ksm01                       | DVK KSM-01                                                                                                                                                             | 0.177    |
| 28890 | e132n                           | hyperstone E1-32N                                                                                                                                                      | 0.277    |
| 28892 | e132xn                          | hyperstone E1-32XN                                                                                                                                                     | 0.277    |
|  4253 | eaglshta                        | Eagle Shot Golf (alt)                                                                                                                                                  | 0.100u3  |
| 36356 | eaglst1                         | Eagle Strike (set 1)                                                                                                                                                   | 0.175    |
| 20314 | ec_barx__bv                     | Bar X (Electrocoin) (set 95)                                                                                                                                           | 0.148    |
| 12538 | ec_barx7                        | Bar X 7 (Electrocoin) (?)                                                                                                                                              | 0.143u5  |
| 12539 | ec_barxd                        | Bar X Deluxe (Electrocoin) (?)                                                                                                                                         | 0.143u5  |
| 20414 | ec_casbx__c                     | Casino Bar X (Electrocoin) (set 4)                                                                                                                                     | 0.148    |
| 20415 | ec_casbx__d                     | Casino Bar X (Electrocoin) (set 5)                                                                                                                                     | 0.148    |
| 12544 | ec_casrb                        | Casino Red Bar (Electrocoin) (?)                                                                                                                                       | 0.143u5  |
| 12545 | ec_cool7                        | Cool 7 (Electrocoin) (?)                                                                                                                                               | 0.143u5  |
